symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
ZYDUSLIFE,483.50,484.55,478.80,484.25,1.95,0.40,1.76,0.18,8.48,0.08,488.30,319.00,.00,.00,31-DEC-2999,-,482.30,-,1.95,0.40,31.66,3.37
UNIONBANK,65.00,65.80,64.45,64.90,0.25,0.39,41.80,4.18,27.20,0.27,96.40,33.50,259.65,100.50,31-DEC-2999,-,64.65,-,0.25,0.39,66.84,-6.69
BBTC,836.90,843.95,833.55,840.00,3.00,0.36,0.13,0.01,1.10,0.01,"1,117.00",833.55,480.85,88.95,31-DEC-2999,-,837.00,-,3.00,0.36,-7.87,-6.04
JUBLINGREA,388.05,395.20,386.00,388.55,1.35,0.35,1.66,0.17,6.46,0.06,592.60,385.60,.00,.00,10-FEB-2023,INTERIM DIVIDEND - RS 2.50 PER SHARE,387.20,-,1.35,0.35,-22.73,-15.05
TATACOFFEE,204.60,206.50,203.60,204.20,0.70,0.34,1.37,0.14,2.80,0.03,251.70,188.75,"1,090.90",868.35,31-DEC-2999,-,203.50,-,0.70,0.34,1.57,-3.08
VARROC,254.45,256.75,252.35,255.30,0.85,0.33,0.28,0.03,0.70,0.01,493.85,239.45,.00,.00,31-DEC-2999,-,254.45,-,0.85,0.33,-21.48,-3.44
SOLARINDS,"3,825.00","3,850.00","3,807.10","3,823.60",12.15,0.32,0.04,0.00,1.35,0.01,"4,538.00","2,478.45","2,700.00",840.00,31-DEC-2999,-,"3,811.45",-,12.15,0.32,45.95,-4.30
3MINDIA,"21,900.00","21,930.70","21,730.00","21,850.10",66.75,0.31,0.00,0.00,0.97,0.01,"25,209.00","17,273.00","6,858.80","3,210.00",31-DEC-2999,-,"21,783.35",-,66.75,0.31,7.90,-1.63
FEDERALBNK,127.00,127.45,125.85,127.40,0.40,0.31,23.19,2.32,29.39,0.29,143.40,82.50,152.95,72.35,31-DEC-2999,-,127.00,-,0.40,0.31,29.27,0.04
ALKYLAMINE,"2,310.00","2,330.50","2,305.55","2,310.90",7.15,0.31,0.07,0.01,1.58,0.02,"3,455.60","2,295.75",415.00,98.00,31-DEC-2999,-,"2,303.75",-,7.15,0.31,-20.57,-8.91
SUNDRMFAST,985.05,993.85,980.15,985.60,2.90,0.30,0.16,0.02,1.56,0.02,"1,033.80",673.05,207.55,38.60,31-DEC-2999,-,982.70,-,2.90,0.30,6.66,1.05
KALYANKJIL,118.25,119.65,115.35,118.00,0.35,0.30,9.09,0.91,10.68,0.11,134.20,55.05,.00,.00,31-DEC-2999,-,117.65,-,0.35,0.30,95.85,0.94
GRINDWELL,"1,763.10","1,785.75","1,750.10","1,768.20",5.10,0.29,0.12,0.01,2.11,0.02,"2,328.35","1,451.00",574.90,229.30,31-DEC-2999,-,"1,763.10",-,5.10,0.29,0.39,-8.89
CHALET,362.40,375.00,360.10,361.60,1.05,0.29,0.30,0.03,1.09,0.01,410.00,275.00,.00,.00,31-DEC-2999,-,360.55,-,1.05,0.29,18.23,-2.82
IDFCFIRSTB,55.10,56.05,55.00,55.25,0.15,0.27,109.65,10.97,60.90,0.61,64.30,28.95,.00,.00,31-DEC-2999,-,55.10,-,0.15,0.27,35.58,1.19
ASTRAL,"1,330.00","1,353.95","1,330.00","1,340.00",3.65,0.27,1.57,0.16,21.11,0.21,"1,991.15","1,186.19",448.00,125.00,14-MAR-2023,BONUS 1:3,"1,336.35",-,3.65,0.27,-33.11,-31.09
PFIZER,"3,521.50","3,546.10","3,514.00","3,530.00",9.45,0.27,0.03,0.00,1.09,0.01,"4,660.00","3,502.10","1,825.00","1,010.00",31-DEC-2999,-,"3,520.55",-,9.45,0.27,-20.53,-7.60
LAURUSLABS,303.20,304.75,300.60,304.00,0.80,0.26,3.66,0.37,11.07,0.11,626.30,298.50,.00,.00,31-DEC-2999,-,303.20,-,0.80,0.26,-49.82,-6.99
INTELLECT,407.85,414.00,404.00,408.00,1.05,0.26,1.30,0.13,5.31,0.05,986.65,388.65,80.10,69.25,31-DEC-2999,-,406.95,-,1.05,0.26,-51.30,-12.23
COFORGE,"3,770.00","3,827.60","3,737.05","3,757.85",9.25,0.25,1.21,0.12,45.66,0.46,"4,605.00","3,210.05",487.00,310.30,03-FEB-2023,INTERIM DIVIDEND - RS 19 PER SH,"3,748.60",-,9.25,0.25,-15.28,-13.41
CGCL,574.00,574.10,571.00,573.40,1.45,0.25,0.32,0.03,1.85,0.02,769.48,513.95,237.80,93.10,17-FEB-2023,RIGHTS 11:64 @ PREMIUM RS 473/-,571.95,-,1.45,0.25,-7.45,-18.05
NHPC,40.15,40.35,39.90,40.10,0.10,0.25,15.73,1.57,6.31,0.06,46.90,27.05,29.60,17.35,17-FEB-2023,INTERIM DIVIDEND - RS 1.40 PER SHARE,40.00,-,0.10,0.25,46.08,2.56
TEAMLEASE,"2,295.00","2,316.20","2,286.20","2,296.35",5.60,0.24,0.09,0.01,2.03,0.02,"4,388.05","2,172.30",.00,.00,31-DEC-2999,-,"2,290.75",-,5.60,0.24,-40.28,-8.76
