symbol,open,high,low,ltP,ptsC,per,trdVol,trdVolM,ntP,mVal,wkhi,wklo,wkhicm_adj,wklocm_adj,xDt,cAct,previousClose,dayEndClose,iislPtsChange,iislPercChange,yPC,mPC
BHARATRAS,"9,441.00","9,547.85","9,436.00","9,480.00",-31.00,-0.33,0.01,0.00,0.69,0.01,"14,400.00","8,280.00",964.90,234.70,31-DEC-2999,-,"9,511.00",-,-31.00,-0.33,-23.77,6.13
AVANTIFEED,334.05,335.30,331.00,332.45,-1.15,-0.34,0.29,0.03,0.97,0.01,527.85,331.00,.00,.00,31-DEC-2999,-,333.60,-,-1.15,-0.34,-23.12,-12.33
MCX,"1,508.65","1,509.20","1,495.50","1,500.00",-5.15,-0.34,0.57,0.06,8.53,0.09,"1,697.10","1,143.00",922.00,378.00,31-DEC-2999,-,"1,505.15",-,-5.15,-0.34,7.01,8.95
VAIBHAVGBL,294.60,296.65,293.65,294.70,-1.05,-0.36,0.27,0.03,0.81,0.01,522.75,287.90,912.00,390.00,03-FEB-2023,INTERIM DIVIDEND - RS 1.50 PER SHARE,295.75,-,-1.05,-0.36,-25.02,-10.28
EXIDEIND,178.00,178.00,175.80,176.50,-0.65,-0.37,2.65,0.26,4.68,0.05,194.20,130.25,183.40,99.00,31-DEC-2999,-,177.15,-,-0.65,-0.37,14.28,-0.56
CESC,68.00,68.25,67.50,67.70,-0.25,-0.37,4.07,0.41,2.76,0.03,88.00,67.50,827.45,374.40,24-FEB-2023,INTERIM DIVIDEND - RS 4.50 PER SHARE,67.95,-,-0.25,-0.37,-9.97,-12.59
SUDARSCHEM,405.35,414.00,401.40,406.05,-1.60,-0.39,0.58,0.06,2.36,0.02,569.35,341.00,139.40,39.80,31-DEC-2999,-,407.65,-,-1.60,-0.39,-26.61,9.82
CDSL,950.20,956.50,944.00,948.40,-3.85,-0.40,0.85,0.09,8.09,0.08,"1,539.00",930.00,.00,.00,31-DEC-2999,-,952.25,-,-3.85,-0.40,-35.57,-4.88
ALOKINDS,12.60,12.75,12.50,12.50,-0.05,-0.40,11.21,1.12,1.41,0.01,29.80,10.10,.00,.00,31-DEC-2999,-,12.55,-,-0.05,-0.40,-52.65,-43.82
IFBIND,797.60,797.60,785.65,790.55,-3.35,-0.42,0.02,0.00,0.15,0.00,"1,129.95",785.65,534.00,60.25,31-DEC-2999,-,793.90,-,-3.35,-0.42,-21.41,-5.08
APOLLOTYRE,311.50,313.45,306.65,308.55,-1.35,-0.44,20.33,2.03,63.17,0.63,343.05,167.10,242.95,77.50,31-DEC-2999,-,309.90,-,-1.35,-0.44,63.12,-6.29
NBCC,34.05,34.25,33.50,33.70,-0.15,-0.44,25.46,2.55,8.63,0.09,43.75,26.55,908.35,131.35,31-DEC-2999,-,33.85,-,-0.15,-0.44,-13.48,1.20
MGL,975.00,979.70,964.60,968.95,-4.50,-0.46,1.41,0.14,13.72,0.14,"1,006.65",665.80,.00,.00,14-FEB-2023,INTERIM DIVIDEND - RS 10 PER SHARE,973.45,-,-4.50,-0.46,25.63,8.29
INDIACEM,179.45,180.70,176.60,178.95,-0.85,-0.47,6.27,0.63,11.20,0.11,298.95,145.45,134.30,45.85,31-DEC-2999,-,179.80,-,-0.85,-0.47,-14.36,-9.58
GMMPFAUDLR,"1,525.95","1,544.00","1,515.00","1,518.10",-7.25,-0.48,0.12,0.01,1.82,0.02,"2,110.00","1,256.67",.00,.00,31-DEC-2999,-,"1,525.35",-,-7.25,-0.48,-66.13,-3.66
LAXMIMACH,"10,637.15","10,637.15","10,492.55","10,528.85",-52.70,-0.50,0.01,0.00,0.57,0.01,"14,200.00","8,200.00","4,503.95","2,400.00",31-DEC-2999,-,"10,581.55",-,-52.70,-0.50,5.74,-6.81
ANURAS,844.00,852.00,843.55,848.00,-4.30,-0.50,2.85,0.28,24.11,0.24,911.85,546.75,.00,.00,08-FEB-2023,INTERIM DIVIDEND - RE 0.60 PER SHARE,852.30,-,-4.30,-0.50,-3.68,32.53
GSFC,124.10,124.45,123.05,123.35,-0.65,-0.52,2.22,0.22,2.75,0.03,198.80,114.65,124.55,43.55,31-DEC-2999,-,124.00,-,-0.65,-0.52,-15.54,-5.04
